,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience ID Exists,Segment ID
319,1PD,2023-Q4,2023-W44,Germany,CSB,No ID,1
320,1PD,2023-Q4,2023-W44,India,B2B,No ID,1
321,1PD,2023-Q4,2023-W44,India,CSB,No ID,1
322,1PD,2023-Q4,2023-W44,Japan,B2B,No ID,1
323,1PD,2023-Q4,2023-W44,Japan,CSB,No ID,2
324,1PD,2023-Q4,2023-W44,Malaysia,B2B,No ID,1
325,1PD,2023-Q4,2023-W44,Netherlands,CSB,No ID,1
326,1PD,2023-Q4,2023-W44,Singapore,B2B,No ID,1
327,1PD,2023-Q4,2023-W44,Spain,CSB,No ID,1
328,1PD,2023-Q4,2023-W44,Sweden,CSB,No ID,1
329,1PD,2023-Q4,2023-W44,Switzerland,CSB,No ID,1
330,1PD,2023-Q4,2023-W44,United Kingdom,CSB,No ID,1
331,1PD,2023-Q4,2023-W44,United States,B2B,No ID,1
332,1PD,2023-Q4,2023-W44,United States,CSB,No ID,2
333,1PD,2023-Q4,2023-W45,Australia,B2B,No ID,1
334,1PD,2023-Q4,2023-W45,Canada,B2B,No ID,1
335,1PD,2023-Q4,2023-W45,Canada,CSB,No ID,2
336,1PD,2023-Q4,2023-W45,France,CSB,No ID,1
337,1PD,2023-Q4,2023-W45,Germany,CSB,No ID,1
338,1PD,2023-Q4,2023-W45,India,B2B,No ID,1
339,1PD,2023-Q4,2023-W45,Japan,B2B,No ID,1
340,1PD,2023-Q4,2023-W45,Japan,CSB,No ID,2
341,1PD,2023-Q4,2023-W45,Malaysia,B2B,No ID,1
342,1PD,2023-Q4,2023-W45,Netherlands,CSB,No ID,1
343,1PD,2023-Q4,2023-W45,Singapore,B2B,No ID,1
344,1PD,2023-Q4,2023-W45,Spain,CSB,No ID,1
345,1PD,2023-Q4,2023-W45,Sweden,CSB,No ID,1
346,1PD,2023-Q4,2023-W45,Switzerland,CSB,No ID,1
347,1PD,2023-Q4,2023-W45,United Kingdom,CSB,No ID,1
348,1PD,2023-Q4,2023-W45,United States,B2B,No ID,1
349,1PD,2023-Q4,2023-W45,United States,CSB,No ID,2
350,1PD,2023-Q4,2023-W46,Australia,B2B,No ID,1
351,1PD,2023-Q4,2023-W46,Canada,B2B,No ID,1
352,1PD,2023-Q4,2023-W46,Canada,CSB,No ID,2
353,1PD,2023-Q4,2023-W46,France,B2B,No ID,1
